,name,qid,measure,value
60080,Advanced BM25,10000,map,0.6042
60081,Advanced BM25,10000,recip_rank,1.0
60082,Advanced BM25,10000,P.5,0.6
60083,Advanced BM25,10000,P.10,0.3
60084,Advanced BM25,10000,P.100,0.03
60085,Advanced BM25,10000,ndcg_cut.5,0.7537
60086,Advanced BM25,10000,ndcg_cut.10,0.7537
60087,Advanced BM25,10000,ndcg_cut.100,0.7537
60104,Advanced BM25,10009,map,0.8385
60105,Advanced BM25,10009,recip_rank,1.0
60106,Advanced BM25,10009,P.5,0.8
60107,Advanced BM25,10009,P.10,0.4
60108,Advanced BM25,10009,P.100,0.05
60109,Advanced BM25,10009,ndcg_cut.5,0.7912
60110,Advanced BM25,10009,ndcg_cut.10,0.7912
60111,Advanced BM25,10009,ndcg_cut.100,0.8371
60160,Advanced BM25,100152,map,0.0919
60161,Advanced BM25,100152,recip_rank,0.0909
60162,Advanced BM25,100152,P.5,0.0
60163,Advanced BM25,100152,P.10,0.0
60164,Advanced BM25,100152,P.100,0.06
60165,Advanced BM25,100152,ndcg_cut.5,0.0
60166,Advanced BM25,100152,ndcg_cut.10,0.0
60167,Advanced BM25,100152,ndcg_cut.100,0.3387
60248,Advanced BM25,100207,map,0.7061
60249,Advanced BM25,100207,recip_rank,1.0
60250,Advanced BM25,100207,P.5,0.8
60251,Advanced BM25,100207,P.10,0.6
60252,Advanced BM25,100207,P.100,0.07
60253,Advanced BM25,100207,ndcg_cut.5,0.5547
60254,Advanced BM25,100207,ndcg_cut.10,0.6541
60255,Advanced BM25,100207,ndcg_cut.100,0.7372
60264,Advanced BM25,100217,map,0.3045
60265,Advanced BM25,100217,recip_rank,1.0
60266,Advanced BM25,100217,P.5,0.4
60267,Advanced BM25,100217,P.10,0.2
60268,Advanced BM25,100217,P.100,0.05
60269,Advanced BM25,100217,ndcg_cut.5,0.3378
60270,Advanced BM25,100217,ndcg_cut.10,0.3173
60271,Advanced BM25,100217,ndcg_cut.100,0.4856
60128,Advanced BM25,10023,map,0.0173
60129,Advanced BM25,10023,recip_rank,0.027
60130,Advanced BM25,10023,P.5,0.0
60131,Advanced BM25,10023,P.10,0.0
60132,Advanced BM25,10023,P.100,0.02
60133,Advanced BM25,10023,ndcg_cut.5,0.0
60134,Advanced BM25,10023,ndcg_cut.10,0.0
60135,Advanced BM25,10023,ndcg_cut.100,0.1112
60360,Advanced BM25,100308,map,0.3549
60361,Advanced BM25,100308,recip_rank,0.5
60362,Advanced BM25,100308,P.5,0.4
60363,Advanced BM25,100308,P.10,0.2
60364,Advanced BM25,100308,P.100,0.04
60365,Advanced BM25,100308,ndcg_cut.5,0.389
60366,Advanced BM25,100308,ndcg_cut.10,0.389
60367,Advanced BM25,100308,ndcg_cut.100,0.5321
60832,Advanced BM25,100643,map,0.5536
60833,Advanced BM25,100643,recip_rank,1.0
60834,Advanced BM25,100643,P.5,0.4
60835,Advanced BM25,100643,P.10,0.2
60836,Advanced BM25,100643,P.100,0.03
60837,Advanced BM25,100643,ndcg_cut.5,0.6351
60838,Advanced BM25,100643,ndcg_cut.10,0.6351
60839,Advanced BM25,100643,ndcg_cut.100,0.7069
60944,Advanced BM25,100739,map,0.0075
60945,Advanced BM25,100739,recip_rank,0.0222
60946,Advanced BM25,100739,P.5,0.0
60947,Advanced BM25,100739,P.10,0.0
60948,Advanced BM25,100739,P.100,0.03
60949,Advanced BM25,100739,ndcg_cut.5,0.0
60950,Advanced BM25,100739,ndcg_cut.10,0.0
60951,Advanced BM25,100739,ndcg_cut.100,0.067
60968,Advanced BM25,100776,map,0.2449
60969,Advanced BM25,100776,recip_rank,1.0
60970,Advanced BM25,100776,P.5,0.4
60971,Advanced BM25,100776,P.10,0.2
60972,Advanced BM25,100776,P.100,0.03
60973,Advanced BM25,100776,ndcg_cut.5,0.3156
60974,Advanced BM25,100776,ndcg_cut.10,0.2681
60975,Advanced BM25,100776,ndcg_cut.100,0.3418
61152,Advanced BM25,100860,map,0.3646
61153,Advanced BM25,100860,recip_rank,1.0
61154,Advanced BM25,100860,P.5,0.4
61155,Advanced BM25,100860,P.10,0.2
61156,Advanced BM25,100860,P.100,0.04
61157,Advanced BM25,100860,ndcg_cut.5,0.5531
61158,Advanced BM25,100860,ndcg_cut.10,0.4935
61159,Advanced BM25,100860,ndcg_cut.100,0.608
61488,Advanced BM25,101106,map,0.6552
61489,Advanced BM25,101106,recip_rank,1.0
61490,Advanced BM25,101106,P.5,0.8
61491,Advanced BM25,101106,P.10,0.5
61492,Advanced BM25,101106,P.100,0.05
61493,Advanced BM25,101106,ndcg_cut.5,0.7244
61494,Advanced BM25,101106,ndcg_cut.10,0.8072
61495,Advanced BM25,101106,ndcg_cut.100,0.8072
60272,Advanced BM25,10111,map,0.6792
60273,Advanced BM25,10111,recip_rank,0.5
60274,Advanced BM25,10111,P.5,0.8
60275,Advanced BM25,10111,P.10,0.4
60276,Advanced BM25,10111,P.100,0.04
60277,Advanced BM25,10111,ndcg_cut.5,0.7242
60278,Advanced BM25,10111,ndcg_cut.10,0.7242
60279,Advanced BM25,10111,ndcg_cut.100,0.7242
61928,Advanced BM25,101466,map,0.4533
61929,Advanced BM25,101466,recip_rank,0.5
61930,Advanced BM25,101466,P.5,0.6
61931,Advanced BM25,101466,P.10,0.4
61932,Advanced BM25,101466,P.100,0.04
61933,Advanced BM25,101466,ndcg_cut.5,0.4759
61934,Advanced BM25,101466,ndcg_cut.10,0.5661
61935,Advanced BM25,101466,ndcg_cut.100,0.5661
62016,Advanced BM25,101536,map,0.5189
62017,Advanced BM25,101536,recip_rank,1.0
62018,Advanced BM25,101536,P.5,0.6
62019,Advanced BM25,101536,P.10,0.3
62020,Advanced BM25,101536,P.100,0.04
62021,Advanced BM25,101536,ndcg_cut.5,0.5221
62022,Advanced BM25,101536,ndcg_cut.10,0.4789
62023,Advanced BM25,101536,ndcg_cut.100,0.5437
62080,Advanced BM25,101575,map,0.0155
62081,Advanced BM25,101575,recip_rank,0.0385
62082,Advanced BM25,101575,P.5,0.0
62083,Advanced BM25,101575,P.10,0.0
62084,Advanced BM25,101575,P.100,0.02
62085,Advanced BM25,101575,ndcg_cut.5,0.0
62086,Advanced BM25,101575,ndcg_cut.10,0.0
62087,Advanced BM25,101575,ndcg_cut.100,0.1244
62128,Advanced BM25,101606,map,0.5114
62129,Advanced BM25,101606,recip_rank,0.5
